Order_ID,Order_Date,City,Product,Category,Quantity,Unit_Price,Discount,Sales
31,2026-04-03,Chennai,Smartwatch,Wearables,1,6000,0.0,6000.0
32,2026-05-26,Hyderabad,Keyboard,Accessories,1,1800,0.05,1710.0
33,2026-05-17,Bengaluru,Smartphone,Electronics,4,25000,0.0,100000.0
34,2026-03-09,Delhi,Headphones,Accessories,4,2500,0.05,9500.0
35,2026-03-21,Mumbai,Tablet,Electronics,2,18000,0.05,34200.0
36,2026-01-31,Bengaluru,Monitor,Electronics,4,12000,0.15,40800.0
37,2026-01-06,Delhi,Keyboard,Accessories,1,1800,0.1,1620.0
38,2026-01-02,Hyderabad,Keyboard,Accessories,5,1800,0.05,8550.0
39,2026-01-09,Chennai,Laptop,Electronics,2,55000,0.0,110000.0
40,2026-03-13,Pune,Smartphone,Electronics,5,25000,0.05,118750.0
41,2026-05-27,Delhi,Smartwatch,Wearables,2,6000,0.05,11400.0
42,2026-04-15,Bengaluru,Smartwatch,Wearables,2,6000,0.15,10200.0
43,2026-04-01,Mumbai,Smartphone,Electronics,1,25000,0.15,21250.0
44,2026-06-22,Pune,Tablet,Electronics,4,18000,0.0,72000.0
45,2026-03-28,Hyderabad,Smartphone,Electronics,1,25000,0.15,21250.0
46,2026-05-18,Mumbai,Keyboard,Accessories,2,1800,0.05,3420.0
47,2026-03-13,Mumbai,Headphones,Accessories,4,2500,0.05,9500.0
48,2026-05-21,Hyderabad,Keyboard,Accessories,1,1800,0.15,1530.0
49,2026-01-24,Bengaluru,Laptop,Electronics,5,55000,0.0,275000.0
50,2026-05-04,Bengaluru,Headphones,Accessories,4,2500,0.15,8500.0
51,2026-04-08,Hyderabad,Tablet,Electronics,1,18000,0.05,17100.0
52,2026-03-15,Mumbai,Tablet,Electronics,3,18000,0.15,45900.0
53,2026-03-17,Bengaluru,Smartwatch,Wearables,2,6000,0.05,11400.0
54,2026-03-22,Hyderabad,Laptop,Electronics,5,55000,0.0,275000.0
55,2026-05-09,Delhi,Laptop,Electronics,5,55000,0.15,233750.0
56,2026-02-17,Hyderabad,Headphones,Accessories,1,2500,0.0,2500.0
57,2026-01-31,Delhi,Smartphone,Electronics,2,25000,0.15,42500.0
58,2026-06-08,Hyderabad,Keyboard,Accessories,5,1800,0.0,9000.0
59,2026-03-08,Bengaluru,Tablet,Electronics,5,18000,0.1,81000.0
60,2026-04-12,Bengaluru,Monitor,Electronics,2,12000,0.1,21600.0
61,2026-01-19,Hyderabad,Mouse,Accessories,4,900,0.1,3240.0
62,2026-01-19,Delhi,Smartwatch,Wearables,5,6000,0.0,30000.0
63,2026-02-03,Chennai,Keyboard,Accessories,5,1800,0.1,8100.0
64,2026-03-14,Bengaluru,Smartphone,Electronics,2,25000,0.1,45000.0
65,2026-06-06,Pune,Smartwatch,Wearables,5,6000,0.1,27000.0
66,2026-06-19,Hyderabad,Laptop,Electronics,5,55000,0.1,247500.0
67,2026-01-28,Pune,Headphones,Accessories,3,2500,0.0,7500.0
68,2026-06-04,Bengaluru,Headphones,Accessories,3,2500,0.1,6750.0
69,2026-05-10,Mumbai,Monitor,Electronics,2,12000,0.1,21600.0
70,2026-06-12,Mumbai,Mouse,Accessories,1,900,0.0,900.0
71,2026-03-27,Bengaluru,Mouse,Accessories,1,900,0.0,900.0
72,2026-05-22,Pune,Mouse,Accessories,2,900,0.15,1530.0
73,2026-01-29,Hyderabad,Tablet,Electronics,5,18000,0.0,90000.0
74,2026-04-05,Delhi,Headphones,Accessories,5,2500,0.0,12500.0
75,2026-01-11,Chennai,Headphones,Accessories,4,2500,0.05,9500.0
76,2026-02-23,Pune,Monitor,Electronics,1,12000,0.1,10800.0
77,2026-05-24,Mumbai,Keyboard,Accessories,1,1800,0.1,1620.0
78,2026-02-15,Mumbai,Headphones,Accessories,2,2500,0.05,4750.0
79,2026-04-16,Pune,Laptop,Electronics,2,55000,0.1,99000.0
80,2026-06-29,Hyderabad,Keyboard,Accessories,3,1800,0.05,5130.0
81,2026-02-26,Bengaluru,Tablet,Electronics,1,18000,0.15,15300.0
82,2026-02-28,Bengaluru,Smartwatch,Wearables,3,6000,0.1,16200.0
83,2026-03-26,Chennai,Laptop,Electronics,2,55000,0.15,93500.0
84,2026-06-14,Delhi,Smartphone,Electronics,3,25000,0.1,67500.0
85,2026-01-08,Hyderabad,Tablet,Electronics,5,18000,0.1,81000.0
86,2026-01-10,Hyderabad,Mouse,Accessories,2,900,0.1,1620.0
87,2026-04-22,Delhi,Tablet,Electronics,3,18000,0.1,48600.0
88,2026-03-07,Hyderabad,Smartphone,Electronics,4,25000,0.05,95000.0
89,2026-04-04,Mumbai,Tablet,Electronics,1,18000,0.05,17100.0
90,2026-06-19,Hyderabad,Smartphone,Electronics,3,25000,0.1,67500.0
91,2026-06-20,Mumbai,Mouse,Accessories,5,900,0.1,4050.0
92,2026-05-22,Bengaluru,Monitor,Electronics,4,12000,0.1,43200.0
93,2026-06-23,Pune,Keyboard,Accessories,4,1800,0.15,6120.0
94,2026-04-14,Delhi,Headphones,Accessories,5,2500,0.1,11250.0
95,2026-02-23,Mumbai,Laptop,Electronics,3,55000,0.1,148500.0
96,2026-04-24,Pune,Monitor,Electronics,4,12000,0.15,40800.0
97,2026-02-13,Pune,Keyboard,Accessories,5,1800,0.15,7650.0
98,2026-01-24,Bengaluru,Smartphone,Electronics,3,25000,0.1,67500.0
99,2026-02-07,Hyderabad,Mouse,Accessories,2,900,0.05,1710.0
100,2026-06-06,Hyderabad,Laptop,Electronics,2,55000,0.15,93500.0
